,gender,group,parental,lunch,course,math,reading,writing
558,female,B,associate's degree,free/reduced,none,53.0,70,70
559,male,D,some high school,standard,none,73.0,66,62
560,female,D,some college,standard,completed,74.0,75,79
561,female,C,some college,standard,none,63.0,74,74
562,male,C,bachelor's degree,standard,completed,96.0,90,92
563,female,D,some college,free/reduced,completed,63.0,80,80
564,male,B,bachelor's degree,free/reduced,none,48.0,51,46
565,male,B,associate's degree,standard,none,48.0,43,45
566,female,E,bachelor's degree,free/reduced,completed,92.0,100,100
567,female,D,master's degree,free/reduced,completed,61.0,71,78
568,male,B,high school,free/reduced,none,63.0,48,47
569,male,D,bachelor's degree,free/reduced,none,68.0,68,67
570,male,B,some college,standard,completed,71.0,75,70
571,male,A,bachelor's degree,standard,none,91.0,96,92
572,female,C,some college,standard,none,53.0,62,56
573,female,C,high school,free/reduced,completed,50.0,66,64
574,female,E,high school,standard,none,74.0,81,71
575,male,A,associate's degree,free/reduced,completed,40.0,55,53
576,male,A,some college,standard,completed,61.0,51,52
577,female,B,high school,standard,none,81.0,91,89
578,female,B,some college,free/reduced,completed,48.0,56,58
579,female,D,master's degree,standard,none,53.0,61,68
580,female,D,some high school,standard,none,81.0,97,96
581,female,E,some high school,standard,none,77.0,79,80
582,female,D,bachelor's degree,free/reduced,none,63.0,73,78
583,female,D,associate's degree,standard,completed,73.0,75,80
584,female,D,some college,standard,none,69.0,77,77
585,female,C,associate's degree,standard,none,65.0,76,76
586,female,A,high school,standard,none,55.0,73,73
587,female,C,bachelor's degree,free/reduced,none,44.0,63,62
588,female,C,some college,standard,none,54.0,64,65
589,female,A,some high school,standard,none,48.0,66,65
590,male,C,some college,free/reduced,none,58.0,57,54
591,male,A,some high school,standard,none,71.0,62,50
592,male,E,bachelor's degree,standard,none,68.0,68,64
593,female,E,high school,standard,none,74.0,76,73
594,female,C,bachelor's degree,standard,completed,92.0,100,99
595,female,C,bachelor's degree,standard,completed,56.0,79,72
596,male,B,high school,free/reduced,none,30.0,24,15
597,male,A,some high school,standard,none,53.0,54,48
598,female,D,high school,standard,none,69.0,77,73
599,female,D,some high school,standard,none,65.0,82,81
600,female,D,master's degree,standard,none,54.0,60,63
601,female,C,high school,standard,none,29.0,29,30
602,female,E,some college,standard,none,76.0,78,80
603,male,D,high school,free/reduced,none,60.0,57,51
604,male,D,master's degree,free/reduced,completed,84.0,89,90
605,male,C,some high school,standard,none,75.0,72,62
606,female,C,associate's degree,standard,none,85.0,84,82
607,female,C,master's degree,free/reduced,none,40.0,58,54
608,female,E,some college,standard,none,61.0,64,62
609,female,B,associate's degree,standard,none,58.0,63,65
610,male,D,some college,free/reduced,completed,69.0,60,63
611,female,C,some college,standard,none,58.0,59,66
612,male,C,bachelor's degree,standard,completed,94.0,90,91
613,female,C,associate's degree,standard,none,65.0,77,74
614,female,A,associate's degree,standard,none,82.0,93,93
615,female,C,high school,standard,none,60.0,68,72
616,female,E,bachelor's degree,standard,none,37.0,45,38
617,male,D,bachelor's degree,standard,none,88.0,78,83
618,male,D,master's degree,standard,none,95.0,81,84
619,male,C,associate's degree,free/reduced,completed,65.0,73,68
620,female,C,high school,free/reduced,none,35.0,61,54
621,male,B,bachelor's degree,free/reduced,none,62.0,63,56
622,male,C,high school,free/reduced,completed,58.0,51,52
623,male,A,some college,standard,completed,100.0,96,86
624,female,E,bachelor's degree,free/reduced,none,61.0,58,62
625,male,D,some college,standard,completed,100.0,97,99
626,male,B,associate's degree,free/reduced,completed,69.0,70,63
627,male,D,associate's degree,standard,none,61.0,48,46
628,male,D,some college,free/reduced,none,49.0,57,46
629,female,C,some high school,standard,completed,44.0,51,55
630,male,D,some college,standard,none,67.0,64,70
631,male,B,high school,standard,none,79.0,60,65
632,female,B,bachelor's degree,standard,completed,66.0,74,81
633,female,C,high school,standard,none,75.0,88,85
634,male,D,some high school,standard,none,84.0,84,80
635,male,A,high school,standard,none,71.0,74,64
636,female,B,high school,free/reduced,completed,67.0,80,81
637,female,D,some high school,standard,completed,80.0,92,88
638,male,E,some college,standard,none,86.0,76,74
639,female,D,associate's degree,standard,none,76.0,74,73
640,male,D,high school,standard,none,41.0,52,51
641,female,D,associate's degree,free/reduced,completed,74.0,88,90
642,female,B,some high school,free/reduced,none,72.0,81,79
643,female,E,high school,standard,completed,74.0,79,80
644,male,B,high school,standard,none,70.0,65,60
645,female,B,bachelor's degree,standard,completed,65.0,81,81
646,female,D,associate's degree,standard,none,59.0,70,65
647,female,E,high school,free/reduced,none,64.0,62,68
648,female,B,high school,standard,none,50.0,53,55
649,female,D,some college,standard,completed,69.0,79,81
650,male,C,some high school,free/reduced,completed,51.0,56,53
651,female,A,high school,standard,completed,68.0,80,76
652,female,D,some college,standard,completed,85.0,86,98
653,female,A,associate's degree,standard,completed,65.0,70,74
654,female,B,some high school,standard,none,73.0,79,79
655,female,B,some college,standard,none,62.0,67,67
656,male,C,associate's degree,free/reduced,none,77.0,67,64
657,male,D,some high school,standard,none,69.0,66,61
658,female,D,associate's degree,free/reduced,none,43.0,60,58
659,male,D,associate's degree,standard,none,90.0,87,85
660,male,C,some college,free/reduced,none,74.0,77,73
661,male,C,some high school,standard,none,73.0,66,63
662,female,D,some college,free/reduced,none,55.0,71,69
663,female,C,high school,standard,none,65.0,69,67
664,male,D,associate's degree,standard,none,80.0,63,63
665,female,C,some high school,free/reduced,completed,50.0,60,60
666,female,C,some college,free/reduced,completed,63.0,73,71
667,female,B,bachelor's degree,free/reduced,none,77.0,85,87
668,male,C,some college,standard,none,73.0,74,61
669,male,D,associate's degree,standard,completed,81.0,72,77
670,female,C,high school,free/reduced,none,66.0,76,68
671,male,D,associate's degree,free/reduced,none,52.0,57,50
672,female,C,some college,standard,none,69.0,78,76
673,female,C,associate's degree,standard,completed,65.0,84,84
674,female,D,high school,standard,completed,69.0,77,78
675,female,B,some college,standard,completed,50.0,64,66
676,female,E,some college,standard,completed,73.0,78,76
677,female,C,some high school,standard,completed,70.0,82,76
678,male,D,associate's degree,free/reduced,none,81.0,75,78
679,male,D,some college,free/reduced,none,63.0,61,60
680,female,D,high school,standard,none,67.0,72,74
681,male,B,high school,standard,none,60.0,68,60
682,male,B,high school,standard,none,62.0,55,54
683,female,C,some high school,free/reduced,completed,29.0,40,44
684,male,B,some college,standard,completed,62.0,66,68
685,female,E,master's degree,standard,completed,94.0,99,100
686,male,E,some college,standard,completed,85.0,75,68
687,male,D,associate's degree,free/reduced,none,77.0,78,73
688,male,A,high school,free/reduced,none,53.0,58,44
689,male,E,some college,free/reduced,none,93.0,90,83
690,female,C,associate's degree,standard,none,49.0,53,53
691,female,E,associate's degree,free/reduced,none,73.0,76,78
692,female,C,bachelor's degree,free/reduced,completed,66.0,74,81
693,female,D,associate's degree,standard,none,77.0,77,73
694,female,C,some high school,standard,none,49.0,63,56
695,female,D,some college,free/reduced,none,79.0,89,86
696,female,C,associate's degree,standard,completed,75.0,82,90
697,female,A,bachelor's degree,standard,none,59.0,72,70
698,female,D,associate's degree,standard,completed,57.0,78,79
699,male,C,high school,free/reduced,none,66.0,66,59
700,female,E,bachelor's degree,standard,completed,79.0,81,82
701,female,B,some high school,standard,none,57.0,67,72
702,male,A,bachelor's degree,standard,completed,87.0,84,87
703,female,D,some college,standard,none,63.0,64,67
704,female,B,some high school,free/reduced,completed,59.0,63,64
705,male,A,bachelor's degree,free/reduced,none,62.0,72,65
706,male,D,high school,standard,none,46.0,34,36
707,male,C,some college,standard,none,66.0,59,52
708,male,D,high school,standard,none,89.0,87,79
709,female,D,associate's degree,free/reduced,completed,42.0,61,58
710,male,C,some college,standard,completed,93.0,84,90
711,female,E,some high school,standard,completed,80.0,85,85
712,female,D,some college,standard,none,98.0,100,99
713,male,D,master's degree,standard,none,81.0,81,84
714,female,B,some high school,standard,completed,60.0,70,74
715,female,B,associate's degree,free/reduced,completed,76.0,94,87
716,male,C,associate's degree,standard,completed,73.0,78,72
717,female,C,associate's degree,standard,completed,96.0,96,99
718,female,C,high school,standard,none,76.0,76,74
719,male,E,associate's degree,free/reduced,completed,91.0,73,80
720,female,C,some college,free/reduced,none,62.0,72,70
721,male,D,some high school,free/reduced,completed,55.0,59,59
722,female,B,some high school,free/reduced,completed,74.0,90,88
723,male,C,high school,standard,none,50.0,48,42
724,male,B,some college,standard,none,47.0,43,41
725,male,E,some college,standard,completed,81.0,74,71
726,female,E,associate's degree,standard,completed,65.0,75,77
727,male,E,some high school,standard,completed,68.0,51,57
728,female,D,high school,free/reduced,none,73.0,92,84
729,male,C,some college,standard,none,53.0,39,37
730,female,B,associate's degree,free/reduced,completed,68.0,77,80
731,male,A,some high school,free/reduced,none,55.0,46,43
732,female,C,some college,standard,completed,87.0,89,94
733,male,D,some high school,standard,none,55.0,47,44
734,female,E,some college,free/reduced,none,53.0,58,57
735,male,C,master's degree,standard,none,67.0,57,59
736,male,C,associate's degree,standard,none,92.0,79,84
737,female,B,some college,free/reduced,completed,53.0,66,73
738,male,D,associate's degree,standard,none,81.0,71,73
739,male,C,high school,free/reduced,none,61.0,60,55
740,male,D,bachelor's degree,standard,none,80.0,73,72
741,female,A,associate's degree,free/reduced,none,37.0,57,56
742,female,C,high school,standard,none,81.0,84,82
743,female,C,associate's degree,standard,completed,59.0,73,72
744,male,B,some college,free/reduced,none,55.0,55,47
745,male,D,associate's degree,standard,none,72.0,79,74
746,male,D,high school,standard,none,69.0,75,71
747,male,C,some college,standard,none,69.0,64,68
748,female,C,bachelor's degree,free/reduced,none,50.0,60,59
749,male,B,some college,standard,completed,87.0,84,86
750,male,D,some high school,standard,completed,71.0,69,68
751,male,E,some college,standard,none,68.0,72,65
752,male,C,master's degree,free/reduced,completed,79.0,77,75
753,female,C,some high school,standard,completed,77.0,90,85
754,male,C,associate's degree,free/reduced,none,58.0,55,53
755,female,E,associate's degree,standard,none,84.0,95,92
756,male,D,some college,standard,none,55.0,58,52
757,male,E,bachelor's degree,free/reduced,completed,70.0,68,72
758,female,D,some college,free/reduced,completed,52.0,59,65
759,male,B,some college,standard,completed,69.0,77,77
760,female,C,high school,free/reduced,none,53.0,72,64
761,female,D,some high school,standard,none,48.0,58,54
762,male,D,some high school,standard,completed,78.0,81,86
763,female,B,high school,standard,none,62.0,62,63
764,male,D,some college,standard,none,60.0,63,59
765,female,B,high school,standard,none,74.0,72,72
766,female,C,high school,standard,completed,58.0,75,77
767,male,B,high school,standard,completed,76.0,62,60
768,female,D,some high school,standard,none,68.0,71,75
769,male,A,some college,free/reduced,none,58.0,60,57
770,male,B,high school,standard,none,52.0,48,49
771,male,D,bachelor's degree,standard,none,75.0,73,74
772,female,B,some high school,free/reduced,completed,52.0,67,72
773,female,C,bachelor's degree,free/reduced,none,62.0,78,79
774,male,B,some college,standard,none,66.0,65,60
775,female,B,some high school,free/reduced,none,49.0,58,55
776,female,B,high school,standard,none,66.0,72,70
777,female,C,some college,free/reduced,none,35.0,44,43
778,female,A,some college,standard,completed,72.0,79,82
779,male,E,associate's degree,standard,completed,94.0,85,82
780,female,D,associate's degree,free/reduced,none,46.0,56,57
781,female,B,master's degree,standard,none,77.0,90,84
782,female,B,high school,free/reduced,completed,76.0,85,82
783,female,C,associate's degree,standard,completed,52.0,59,62
784,male,C,bachelor's degree,standard,completed,91.0,81,79
785,female,B,some high school,standard,completed,32.0,51,44
786,female,E,some high school,free/reduced,none,72.0,79,77
787,female,B,some college,standard,none,19.0,38,32
788,male,C,associate's degree,free/reduced,none,68.0,65,61
789,female,C,master's degree,free/reduced,none,52.0,65,61
790,female,B,high school,standard,none,48.0,62,60
791,female,D,some college,free/reduced,none,60.0,66,70
792,male,D,high school,free/reduced,none,66.0,74,69
793,male,E,some high school,standard,completed,89.0,84,77
794,female,B,high school,standard,none,42.0,52,51
795,female,E,associate's degree,free/reduced,completed,57.0,68,73
796,male,D,high school,standard,none,70.0,70,70
797,female,E,associate's degree,free/reduced,none,70.0,84,81
798,male,E,some college,standard,none,69.0,60,54
799,female,C,associate's degree,standard,none,52.0,55,57
800,male,C,some high school,standard,completed,67.0,73,68
801,male,C,some high school,standard,completed,76.0,80,73
802,female,E,associate's degree,standard,none,87.0,94,95
803,female,B,some college,standard,none,82.0,85,87
804,female,C,some college,standard,none,73.0,76,78
805,male,A,some college,free/reduced,none,75.0,81,74
806,female,D,some college,free/reduced,none,64.0,74,75
807,female,E,high school,free/reduced,none,41.0,45,40
808,male,C,high school,standard,none,90.0,75,69
809,male,B,bachelor's degree,standard,none,59.0,54,51
810,male,A,some high school,standard,none,51.0,31,36
811,male,A,high school,free/reduced,none,45.0,47,49
812,female,C,master's degree,standard,completed,54.0,64,67
813,male,E,some high school,standard,completed,87.0,84,76
814,female,C,high school,standard,none,72.0,80,83
815,male,B,some high school,standard,completed,94.0,86,87
816,female,A,bachelor's degree,standard,none,45.0,59,64
817,male,D,bachelor's degree,free/reduced,completed,61.0,70,76
818,female,B,high school,free/reduced,none,60.0,72,68
819,female,C,some high school,standard,none,77.0,91,88
820,female,A,some high school,standard,completed,85.0,90,92
821,female,D,bachelor's degree,free/reduced,none,78.0,90,93
822,male,E,some college,free/reduced,completed,49.0,52,51
823,female,B,high school,free/reduced,none,71.0,87,82
824,female,C,some high school,free/reduced,none,48.0,58,52
825,male,C,high school,standard,none,62.0,67,58
826,female,C,associate's degree,free/reduced,completed,56.0,68,70
827,female,C,some high school,standard,none,65.0,69,76
828,female,D,some high school,free/reduced,completed,69.0,86,81
829,male,B,some high school,standard,none,68.0,54,53
830,female,A,some college,free/reduced,none,61.0,60,57
831,female,C,bachelor's degree,free/reduced,completed,74.0,86,89
832,male,A,bachelor's degree,standard,none,64.0,60,58
833,female,B,high school,standard,completed,77.0,82,89
834,male,B,some college,standard,none,58.0,50,45
835,female,C,high school,standard,completed,60.0,64,74
836,male,E,high school,standard,none,73.0,64,57
837,female,A,high school,standard,completed,75.0,82,79
838,male,B,associate's degree,free/reduced,completed,58.0,57,53
839,female,C,associate's degree,standard,none,66.0,77,73
840,female,D,high school,free/reduced,none,39.0,52,46
841,male,C,some high school,standard,none,64.0,58,51
842,female,B,high school,free/reduced,completed,23.0,44,36
843,male,B,some college,free/reduced,completed,74.0,77,76
844,female,D,some high school,free/reduced,completed,40.0,65,64
845,male,E,master's degree,standard,none,90.0,85,84
846,male,C,master's degree,standard,completed,91.0,85,85
847,male,D,high school,standard,none,64.0,54,50
848,female,C,high school,standard,none,59.0,72,68
849,male,D,associate's degree,standard,none,80.0,75,69
850,male,C,master's degree,standard,none,71.0,67,67
851,female,A,high school,standard,none,61.0,68,63
852,female,E,some college,standard,none,87.0,85,93
853,male,E,some high school,standard,none,82.0,67,61
854,male,C,some high school,standard,none,62.0,64,55
855,female,B,bachelor's degree,standard,none,97.0,97,96
856,male,B,some college,free/reduced,none,75.0,68,65
857,female,C,bachelor's degree,standard,none,65.0,79,81
858,male,B,high school,standard,completed,52.0,49,46
859,male,C,associate's degree,free/reduced,none,87.0,73,72
860,female,C,associate's degree,standard,none,53.0,62,53
861,female,E,master's degree,free/reduced,none,81.0,86,87
862,male,D,bachelor's degree,free/reduced,completed,39.0,42,38
863,female,C,some college,standard,completed,71.0,71,80
864,male,C,associate's degree,standard,none,97.0,93,91
865,male,D,some college,standard,completed,82.0,82,88
866,male,C,high school,free/reduced,none,59.0,53,52
867,male,B,associate's degree,standard,none,61.0,42,41
868,male,E,associate's degree,free/reduced,completed,78.0,74,72
869,male,C,associate's degree,free/reduced,none,49.0,51,51
870,male,B,high school,standard,none,59.0,58,47
871,female,C,some college,standard,completed,70.0,72,76
872,male,B,associate's degree,standard,completed,82.0,84,78
873,male,E,associate's degree,free/reduced,none,90.0,90,82
874,female,C,bachelor's degree,free/reduced,none,43.0,62,61
875,male,C,some college,free/reduced,none,80.0,64,66
876,male,D,some college,standard,none,81.0,82,84
877,male,C,some high school,standard,none,57.0,61,54
878,female,D,some high school,standard,none,59.0,72,80
879,female,D,associate's degree,standard,none,64.0,76,74
880,male,C,bachelor's degree,standard,completed,63.0,64,66
881,female,E,bachelor's degree,standard,completed,71.0,70,70
882,female,B,high school,free/reduced,none,64.0,73,71
883,male,D,bachelor's degree,free/reduced,none,55.0,46,44
884,female,E,associate's degree,standard,none,51.0,51,54
885,female,C,associate's degree,standard,completed,62.0,76,80
886,female,E,associate's degree,standard,completed,93.0,100,95
887,male,C,high school,free/reduced,none,54.0,72,59
888,female,D,some college,free/reduced,none,69.0,65,74
889,male,D,high school,free/reduced,none,44.0,51,48
890,female,E,some college,standard,completed,86.0,85,91
891,female,E,associate's degree,standard,none,85.0,92,85
892,female,A,master's degree,free/reduced,none,50.0,67,73
893,male,D,some high school,standard,completed,88.0,74,75
894,female,E,associate's degree,standard,none,59.0,62,69
895,female,E,some high school,free/reduced,none,32.0,34,38
896,male,B,high school,free/reduced,none,36.0,29,27
897,female,B,some high school,free/reduced,completed,63.0,78,79
898,male,D,associate's degree,standard,completed,67.0,54,63
899,female,D,some high school,standard,completed,65.0,78,82
900,male,D,master's degree,standard,none,85.0,84,89
901,female,C,master's degree,standard,none,73.0,78,74
902,female,A,high school,free/reduced,completed,34.0,48,41
903,female,D,bachelor's degree,free/reduced,completed,93.0,100,100
904,female,D,some high school,free/reduced,none,67.0,84,84
905,male,D,some college,standard,none,88.0,77,77
906,male,B,high school,standard,none,57.0,48,51
907,female,D,some college,standard,completed,79.0,84,91
908,female,C,bachelor's degree,free/reduced,none,67.0,75,72
909,male,E,bachelor's degree,standard,completed,70.0,64,70
910,male,D,bachelor's degree,free/reduced,none,50.0,42,48
911,female,A,some college,standard,none,69.0,84,82
912,female,C,bachelor's degree,standard,completed,52.0,61,66
913,female,C,bachelor's degree,free/reduced,completed,47.0,62,66
914,female,B,associate's degree,free/reduced,none,46.0,61,55
915,female,E,some college,standard,none,68.0,70,66
916,male,E,bachelor's degree,standard,completed,100.0,100,100
917,female,C,high school,standard,none,44.0,61,52
918,female,C,associate's degree,standard,completed,57.0,77,80
919,male,B,some college,standard,completed,91.0,96,91
920,male,D,high school,free/reduced,none,69.0,70,67
921,female,C,high school,free/reduced,none,35.0,53,46
922,male,D,high school,standard,none,72.0,66,66
923,female,B,associate's degree,free/reduced,none,54.0,65,65
924,male,D,high school,free/reduced,none,74.0,70,69
925,male,E,some high school,standard,completed,74.0,64,60
926,male,E,associate's degree,free/reduced,none,64.0,56,52
927,female,D,high school,free/reduced,completed,65.0,61,71
928,male,E,associate's degree,free/reduced,completed,46.0,43,44
929,female,C,some high school,free/reduced,none,48.0,56,51
930,male,C,some college,free/reduced,completed,67.0,74,70
931,male,D,some college,free/reduced,none,62.0,57,62
932,male,D,associate's degree,free/reduced,completed,61.0,71,73
933,male,C,bachelor's degree,free/reduced,completed,70.0,75,74
934,male,C,associate's degree,standard,completed,98.0,87,90
935,male,D,some college,free/reduced,none,70.0,63,58
936,male,A,associate's degree,standard,none,67.0,57,53
937,female,E,high school,free/reduced,none,57.0,58,57
938,male,D,some college,standard,completed,85.0,81,85
939,male,D,some high school,standard,completed,77.0,68,69
940,male,C,master's degree,free/reduced,completed,72.0,66,72
941,female,D,master's degree,standard,none,78.0,91,96
942,male,C,high school,standard,none,81.0,66,64
943,male,A,some high school,free/reduced,completed,61.0,62,61
944,female,B,high school,standard,none,58.0,68,61
945,female,C,associate's degree,standard,none,54.0,61,58
946,male,B,high school,standard,none,82.0,82,80
947,female,D,some college,free/reduced,none,49.0,58,60
948,male,B,some high school,free/reduced,completed,49.0,50,52
949,female,E,high school,free/reduced,completed,57.0,75,73
950,male,E,high school,standard,none,94.0,73,71
951,female,D,some college,standard,completed,75.0,77,83
952,female,E,some high school,free/reduced,none,74.0,74,72
953,male,C,high school,standard,completed,58.0,52,54
954,female,C,some college,standard,none,62.0,69,69
955,male,E,associate's degree,standard,none,72.0,57,62
956,male,C,some college,standard,none,84.0,87,81
957,female,D,master's degree,standard,none,92.0,100,100
958,female,D,high school,standard,none,45.0,63,59
959,male,C,high school,standard,none,75.0,81,71
960,female,A,some college,standard,none,56.0,58,64
961,female,D,some high school,free/reduced,none,48.0,54,53
962,female,E,associate's degree,standard,none,100.0,100,100
963,female,C,some high school,free/reduced,completed,65.0,76,75
964,male,D,some college,standard,none,72.0,57,58
965,female,D,some college,standard,none,62.0,70,72
966,male,A,some high school,standard,completed,66.0,68,64
967,male,C,some college,standard,none,63.0,63,60
968,female,E,associate's degree,standard,none,68.0,76,67
969,female,B,bachelor's degree,standard,none,75.0,84,80
970,female,D,bachelor's degree,standard,none,89.0,100,100
971,male,C,some high school,standard,completed,78.0,72,69
972,female,A,high school,free/reduced,completed,53.0,50,60
973,female,D,some college,free/reduced,none,49.0,65,61
974,female,A,some college,standard,none,54.0,63,67
975,female,C,some college,standard,completed,64.0,82,77
976,male,B,some college,free/reduced,completed,60.0,62,60
977,male,C,associate's degree,standard,none,62.0,65,58
978,male,D,high school,standard,completed,55.0,41,48
979,female,C,associate's degree,standard,none,91.0,95,94
980,female,B,high school,free/reduced,none,8.0,24,23
981,male,D,some high school,standard,none,81.0,78,78
982,male,B,some high school,standard,completed,79.0,85,86
983,female,A,some college,standard,completed,78.0,87,91
984,female,C,some high school,standard,none,74.0,75,82
985,male,A,high school,standard,none,57.0,51,54
986,female,C,associate's degree,standard,none,40.0,59,51
987,male,E,some high school,standard,completed,81.0,75,76
988,female,A,some high school,free/reduced,none,44.0,45,45
989,female,D,some college,free/reduced,completed,67.0,86,83
990,male,E,high school,free/reduced,completed,86.0,81,75
991,female,B,some high school,standard,completed,65.0,82,78
992,female,D,associate's degree,free/reduced,none,55.0,76,76
993,female,D,bachelor's degree,free/reduced,none,62.0,72,74
994,male,A,high school,standard,none,63.0,63,62
995,female,E,master's degree,standard,completed,88.0,99,95
996,male,C,high school,free/reduced,none,62.0,55,55
997,female,C,high school,free/reduced,completed,59.0,71,65
998,female,D,some college,standard,completed,68.0,78,77
999,female,D,some college,free/reduced,none,77.0,86,86
